Competition ID,Competition,Sport,Opseg vremena,mean,percentile_20,percentile_40,percentile_60,percentile_80,percentile_90,percentile_95,percentile_99.9,start_hour,end_hour
461,Azerbejdzan Kup,Fudbal,"(3, 4]",4049.5926518199017,559.0559148898349,1127.2951002735645,3265.8939719744026,5215.817791403532,7987.649892006069,13187.195261333547,18282.749723274497,3,4
963,Kup Sudamericana,Fudbal,"(24, 36]",4047.792398482561,4047.792398482561,4047.792398482561,4047.792398482561,4047.792398482561,4047.792398482561,4047.792398482561,4047.792398482561,24,36
5299,Alzir 2 Centar/Zapad,Fudbal,"(1, 2]",4046.378380631063,525.4090735852719,1054.791420089502,1933.8124235939972,3655.290308353611,7412.804621541851,11898.324847579403,56432.217519280915,1,2
4317,Ceska 1,Košarka,"(2, 3]",4045.8900982141604,449.53943670913577,1422.2592314332724,2925.277667056769,6327.045724699944,11260.11010817867,14774.422236699555,24020.6451183057,2,3
5454,ATP Adelaide 2 Dublovi,Tenis,"(2, 3]",4045.8142130684582,915.4885737041235,1756.0496342702882,3803.594195892692,7585.2356017696875,9541.503455160111,9905.173089137837,9944.701127085533,2,3
4943,Kval. SP 2023 Amerika,Košarka,"(8, 12]",4043.4399544239177,159.21765708923343,815.8266386248172,2723.860948599815,5280.959741077573,12165.91054862429,16459.768370728474,24176.39802226222,8,12
4135,EHF Evropska Liga,Rukomet,"(8, 12]",4040.232373279748,345.79670290797947,1040.2104570038616,2529.898213825375,4807.027314004659,7764.342152395311,18165.084907801047,49476.20415585936,8,12
5473,WTA ITF Loughborough,Tenis,"(1, 2]",4038.5184295936224,9.687070870026947,48.13819956555963,128.56318110041317,301.5815900862219,1604.2418105606446,1997.5895009208468,85081.05762525315,1,2
1773,Bosna i Hercegovina 1,Fudbal,"(24, 36]",4037.3227084217,91.63176436424257,381.7738082593978,3371.1113305062063,5878.55298272796,10231.601655001557,12484.490553747924,33289.46295144507,24,36
2454,Malta Kup,Fudbal,"(3, 4]",4031.2172950877407,574.2724279036373,1339.256387024313,1432.557720653653,7669.720837823634,8910.683507373704,13960.820128789554,19992.7881689937,3,4
1418,Australian Open Mix Dublovi,Tenis,"(1, 2]",4030.2859742406677,291.6892726406456,1199.2843923964206,2755.924596118495,6575.045256304444,10576.228290941192,13769.9620843818,27965.175604287742,1,2
5294,ATP Ch. Lima 2,Tenis,"(3, 4]",4030.216985584186,207.94391854852438,456.83495206683875,697.7247146517038,1625.70748518534,6730.300229948014,25252.42232382968,49294.52672411675,3,4
5319,Peru 1 Play out,Fudbal,"(8, 12]",4029.8958663083613,1630.4817152395844,3230.0911492854357,4829.700583331287,6429.310017377138,7229.114734400064,7629.017092911527,8020.92140425276,8,12
1404,WTA Australian Open,Tenis,"(24, 36]",4028.673446784507,277.88122856244445,1031.0599356852472,1983.1307861400396,4210.737484943122,9851.234981457219,13994.230460431427,62593.62170168898,24,36
404,Engleska FA Kup,Fudbal,"(24, 36]",4028.0935451616883,257.4020645953715,413.8370227051229,1218.5830375958226,2916.596430304543,12764.506256277089,24151.35951896824,67881.12817832264,24,36
4418,Argentina 4,Fudbal,"(1, 2]",4026.505086430579,2030.192315197289,2647.8705595183224,3046.0816459080424,4451.759887726829,7253.093221109287,8653.759887800514,10026.413221157924,1,2
963,Kup Sudamericana,Fudbal,"(36, 48]",4025.9191255271435,4025.9191255271435,4025.9191255271435,4025.9191255271435,4025.9191255271435,4025.9191255271435,4025.9191255271435,4025.9191255271435,36,48
5060,Danska 3,Fudbal,"(4, 8]",4024.9513973344,482.2167729899288,962.7100230648518,2260.729108137309,6025.43326180935,14289.019259003915,17626.241785651182,23033.19406429987,4,8
2456,AFC Liga Sampiona Play off,Fudbal,"(16, 20]",4024.8874431620043,280.02538446336985,331.3229986131191,2889.4093325063586,3877.2089438587427,10302.737630475685,13515.501973784158,16664.01103022647,16,20
1915,Ceska 2,Hokej,"(2, 3]",4024.2758435819087,371.84760268040003,738.1847537085414,1650.6395948598533,3691.375159530193,9705.891382547617,14517.652564019187,72727.19631132373,2,3
2871,ATP Rotterdam Dublovi,Tenis,"(8, 12]",4017.85589931339,8.362407571077348,923.9363059207805,4635.575574890256,6913.448420509697,9553.090053528176,11595.96235785297,13718.357695191182,8,12
1789,Tajland 1,Fudbal,"(3, 4]",4017.5065386275583,432.78855310082434,807.371758233011,1533.7766530799863,4477.51193905148,9061.822606225141,20708.77001173762,49500.19524322193,3,4
5296,WTA Courmayeur Dublovi,Tenis,"(0, 1]",4015.345688525781,63.831317652881154,826.7880770803099,1690.5219728261231,4122.042875333513,13252.664224553851,17217.596585776482,23005.703564750587,0,1
963,Kup Sudamericana,Fudbal,"(96, 1000]",4014.454756975174,4014.454756975174,4014.454756975174,4014.454756975174,4014.454756975174,4014.454756975174,4014.454756975174,4014.454756975174,96,1000
